1월 8일,1월 12일,2월 27일,2월 28일,3월 4일,3월 19일,3월 20일,5월 3일,5월 15일,5월 20일,7월 15일,8월 2일,8월 8일,11월 6일,11월 11일
"트러플 한우·감태김…이마트, 축·수산 차별화 선물세트 확대","美 ""북러 미사일 거래 억제에 중국도 역할 해야""","젤렌스키 ""유럽이 약속한 포탄 100만발 중 30%밖에 못받아""","美 ""우크라에 파병 안 해"" 기존 입장 확인하며 파병에 선 그어(종합)",의대 증원 신청 오늘 마감…대학-의대교수 갈등 고조,[부고] 김재택(전 뉴욕한인회장)씨 별세,"美, 전기차 늘리려고 연비 계산법 강화…업계 반발에 일부 후퇴","한총리, 오늘 국립암센터 방문해 의료 공백 사태 점검","푸틴, 벨로우소프 국방장관 임명…집권 5기 내각 구성",국내 최대 완성차공장의 변신…LED 전광판·아트월로 꾸민다,"트럼프 ""상상 못할 일 오직 신이 막아…단결 중요""",[올림픽] 코리아하우스서 한국의 날 행사 열어 스포츠 외교 강화,"英흉기참사 아이들 구하러 달려간 60대 ""더 막았어야 했는데""","달러-원, 탄탄한 美 서비스업·대선 경계감에 1,380원 넘겨",낮에 포근하고 일교차 커…오전 짙은 안개 주의
국내기업들이 뽑은 올해 글로벌 키워드는 '공급망 문제 심화',"美항공청, 동체 일부 떨어져 나간 항공기 만든 보잉사 조사","한국작품 2편, 벨기에 애니메이션 영화제 경쟁부문 후보로","정부, 의료계 '법적 대응' 본격화…환자·남은 의료진은 '사투'",흐린 월요일…제주·전라·경남 오후 비,"머스크 ""트럼프와의 만남, 의도한 것 아냐…돈 얘기도 안 해""","50여년전 죽은 태아가 뱃속에…브라질 80대, 수술 후 사망","[사이테크+] ""약초로 상처 치료하는 야생 수마트라 오랑우탄 첫 포착""","美컴캐스트 ""스트리밍 피콕·넷플릭스·애플TV+ 묶음 상품 출시""","롯데아울렛, 지역농가와 상생 두번째 '롯컬마켓' 개최","트럼프, 주먹 치켜들고 ""싸워라""…위기마다 본능적 쇼맨십","달러-원, 경제 지표 소화하며 하락 마감…1,369.80원","이스라엘군 ""살인자 신와르 찾아내 공격하겠다""","스페인 정부, 대홍수 피해 지역에 16조원 긴급 지원","日이시바, 오늘 총리 재선출 유력…30년만에 국회 결선투표 전망"
"[게시판] 서울우리소리박물관, '민요프로젝트' 그림책 발간","""20년간 이런적 처음""…극도 치안불안에 숨죽인 에콰도르 교민들","美 ""반도체 투자의향서 600건 넘게 접수…제2반도체법 필요할듯""","국회, 오늘 엄상필 대법관 후보자 인사청문회","민주 탈당' 김영주 국민의힘으로…한동훈 ""야, 구정물 공천""","네타냐후, 바이든과 한달여만에 통화…""전쟁목표 달성 논의""","美 국무부 부장관, 일본 방문…내달 미일정상회담 협의","서울아산·서울성모병원 교수들 휴진…""의료진 탈진 예방""","프랑스 최고 행정법원, '모나리자' 반환 청구 각하",무협 '글로벌 인턴십' 4년만에 재개…내달 2일까지 참가자 모집,"BTS 진, 수천 명 '아미' 환호 속 파리올림픽 성화 봉송","AI 동맹' MS-오픈AI, 헤어질 결심?…MS ""이제 오픈AI는 경쟁자""","美민주 해리스, 월즈 부통령후보 발표 후 하루동안 495억원 모금","""동독 장악하고 인종청소""…독일 쿠데타 모의세력 적발(종합)",평택제천고속도로서 4중 추돌…2대 전소·5명 경상
"""세종문화회관서 역사와 그림 즐겨요""…겨울방학 전시·체험","푸틴 측근 ""우크라가 미사일 발사대 공격하면 핵대응""","""2014년 페이스북 같다""…기술 인재 몰려드는 美 엔비디아","한총리, 의사 집단행동 대응 중대본회의 주재…내일까지 복귀 호소",명룡대전' 성사된 인천 계양을…첫날부터 신경전,"설리번 ""이스라엘, 라파에서 대규모 지상작전하면 실수""","영국 찰스3세·왕세자 부자, 왕실 루머속 각각 공개행보","트럼프 ""대선 정직하게 치러지면 승복…아니면 싸워야""","구글, 검색 엔진에 생성형 AI 정식 탑재…AI 어시스턴트도 공개","대법 ""데이터베이스 복제·배포, 제작자 저작권 침해""",초복' 남해안·제주에 비…낮 최고 32도,"CNN 前 앵커 돈 레몬 ""머스크가 20억원 지급 약속 안 지켜"" 소송",중미서 에콰도르·중국인 등 불법이주 도운 브로커 잇따라 체포,"기아, 美서 '캠핑 최적' 콘셉트카 EV9어드벤처·PV5위켄더 공개",막말 논란' 임현택 의협 회장 탄핵…의정갈등 전환점
"서울시, 노후아파트 피난시설 점검 의무화 등 화재예방 대책","악마' 모욕→'성하' 극존칭…아르헨대통령, 교황 고국방문 초청","아제르·아르메니아, 28일 獨서 외무장관 회담…분쟁 출구 논의","""비만 수술, 의료·생활습관 교정보다 당뇨병 치료 효과 좋아""",이낙연-임종석 회동이어 '반명연합' 성사 촉각…조국혁신당 출범,"EU, 우크라 군사기금 '제3국 무기' 지원시에도 활용키로",이탈리아 제2도시 밀라노서 다채로운 한국문화 잔치,"""LG 세탁기 러 공장 멈췄는데도 점유율 오히려 올라""","美USTR 대표, 멕시코산 中전기차에도 ""지켜보라"" 조치 예고","코트라, 美 최대 식품전시회에 '한국관'…""K-푸드 수출 지원""","멜라니아 ""괴물이 남편 공격…다시 단결해야"" 성명",[올림픽] '악천후 연기' 김제덕도 생존…태극궁사 6명 전원 개인전 16강행,"페제시키안, 마크롱과 통화서 ""안보 침해에 침묵 않을것""","네타냐후 ""신뢰 깨져""…가자 전쟁 이끈 갈란트 국방 경질(종합)","국민의힘 ""여야의정 협의체 출범""…민주당에 참석협조 공문"
"대법 ""몰래 녹음한 통화, 사생활 침해 심하면 증거로 못 써""",ETF 거래 첫날 비트코인 4만9천달러 찍고 하락…이더리움은 급등,3개월여 남은 멕시코 대선…중남미 좌파 득세 기조 이어질까,"외교2차관 유엔서 ""北인권에 관심 더 기울여 달라"" 촉구","블룸버그 ""엔비디아 주가, 테슬라 닮은 꼴…하락장 올 수도""","오바마, 영국 총리실 깜짝 방문…수낵과 AI 등 현안 논의","MS, 딥마인드 공동창업자 술레이만 영입…AI 사업부 맡겨","日 소니, 美 미디어기업 파라마운트 35조원에 인수 제안","이스라엘 외무 ""가자 구호 차질은 우리 아닌 이집트 탓""(종합)","라이칭더 대만 총통 오늘 취임…美日, 취임식에 대표단 파견","윤대통령 ""한 분도 돌려보내지 않을 것…강제북송 안 되게 모든 노력""","NYT ""하니예, 이란내 숙소에 두 달 전 미리 설치한 폭탄에 암살""",시신 190구 방치·부패시킨 美 장례식장…총 1조원 배상 판결,"與, '미국 대선·北 파병' 긴급현안점검 회의","[트럼프 재집권] 트럼프측, 과거 '주한미군 철수' 거론에 ""사업가식 협상방식"""
"서울시, 소상공인에 1조7천억원 지원…8일부터 접수","트럼프, 민사재판 최후진술서 ""뉴욕주 검찰총장 대가 치러야""","NASA, 달 표면 위 美우주선 사진 공개…""목표지점 1.5㎞내 위치""","""미국인 우리 지지"" 네타냐후, '세계 지지 상실' 바이든에 반격",화물차 바퀴 빠짐 사고에…경찰 오늘부터 합동 단속,"러, 中에 ""젤렌스키 평화공식 홍보 행사에 참여할 수 없어""","카타르 ""가자 휴전 타결에 근접 못해""…""이스라엘선 회의적""(종합)",김포 아파트단지 3시간 넘게 정전…360세대 불편,"오늘 부처님오신날…""마음의 평화"" 전국 사찰서 봉축 법요식","""기업 공익법인 상속·증여세제 개선해 기부 활성화해야""",민주당 최고위원 후보 8명 압축…'명심 경쟁'도 과열,"[1보] 배드민턴 김원호-정나은, 은메달 확보…서승재-채유정은 銅 도전","[올림픽] 김장우, 남자 세단뛰기 예선 탈락…32명 중 26위","[사이테크+] ""장내 미생물 군집, 스트레스 호르몬 조절에도 중요 역할""",[이런말저런글] 일본어식 표현 다듬어 봅시다
통계조작 의혹' 前 국토부 차관 등 오늘 구속심사,"""사립대 설립 반대"" 그리스 대학생 수천명 항의 시위",비트코인 다시 상승세 시동…26개월만에 5만3천달러 돌파,"윤 대통령, 3·1절 기념사 '교육·문화 독립운동' 부각할듯","범퍼 부서질 정도로 사람 친 뺑소니 운전자에 징역 3년…""돌인 줄 알았다""","무법천지' 아이티 내 韓업체들 휘청…""안전지대 사라져 가""","트럼프, ABC방송에 소송제기…""성추행만 인정됐는데 강간 언급""","이·팔 반전 시위 확산…바이든, ""질서는 지켜야""",의대 증원 '속행 vs 좌초' 갈림길…법원 판단에 '촉각',"""EU 핵심원자재법, 전기차 관련 기업에 영향…사전대비 필요""",미복귀 전공의 사직처리 마감…정오까지 거취 확인,"[올림픽] 바일스, 여자 체조 개인종합도 금메달…2관왕 달성","伊, 세계 슈퍼리치 겨냥 연간 고정세 3억원으로 2배 인상",7천년전 선사시대 활 쏘듯'…국보 반구대암각화서 첫 궁도대회,울산 동서를 연결' 농소∼강동 도로 착공…6천332억원 투입
작년 전국 아파트 시장도 30대가 '큰 손'…매입비중 역대 최대,"이란 ""美유조선 나포""…홍해 이어 '원유 동맥' 호르무즈 위기(종합2보)","[MWC] 앱 필요없는 AI폰에 투명 노트북, 춤추는 로봇 개까지",전국 가끔 구름 많고 미세먼지는 양호…낮 최고 13도,화성 금속 가공업체서 큰 불…인명피해 없이 진화,"美대법, 트럼프와 유사한 '내란가담' 州공직자 사건 심리 않기로","트럼프, 나토 발언 '톤' 조정…""유럽 제 몫 내면 美 탈퇴 안해""",[뉴욕유가] 가자 휴전 낙관론에 4거래일 연속 하락,시내버스 전용차로 갖춘 창원 S-BRT 개통…기대·우려 교차,"[게시판] 서울시, 내달 2일 보라매공원서 '반려동물 배움의 날'","경호처 출신 ""박정훈이 오버"" 녹취…공수처 검증 나서","뉴욕증시, 8월 첫날 경기 침체 우려에 큰폭 하락…나스닥 2%대↓","달러-원, 변동성 축소 속 하락 마감…1,373.60원","해리스 ""분열에 지쳐"" 트럼프 ""미국 위대하게""…투표 진행중","신세계百, 대구 스위트파크 100일만에 매출 2.4배 증가"
한국 자영업자 등 비임금근로자 비중 23.5%…OECD 7위,"한동훈·홍익표, 통도사 방문…洪, 문재인 전 대통령 예방",의료현장 번아웃 계속…'대란' 막을 협상 시작되나,"민주당 공관위, 기동민 지역 전략공관위로 이관",[삶] 한국의 국회의원들은 의사들과 몇가지 공통점 있다,"바이든 ""라파 지상전 깊이 우려"" vs 네타냐후 ""전쟁목표 이뤄야""(종합)",경북 영주에 대설주의보…북동 산지 대설주의보 유지,전국 맑고 일교차 커…전라 내륙은 아침 안개 주의,"[뉴욕유가] OPEC, 원유수요 증가전망 유지에 하락",올 1분기 배당 '역대 최고'…21개사 4조7천억원 주주환원,"홍명보 감독, 외국인 코치진 선임 위해 오늘 유럽 출국",[올림픽] 배드민턴 김원호-정나은의 패기…세계 2위 선배팀 꺾고 결승행(종합),"美, DMZ 北지뢰 폭우 뒤 남하에 ""北, 불안정 유발행위 멈춰야""",전국 맑고 쌀쌀…낮 최고기온 10∼17도,드론 타고 판교∼광화문 15분만에 슝…서울시 도심항공 실증
월급 빼고 이자 등 '부수입' 연 2천만원 넘는 직장인 60만명,"주가총액 3천781조원' MS, 애플 제치고 시총 정상 등극","국회, 오늘 신숙희 대법관 후보자 인사청문회",올해부터 모든 청년 구직자에 일학습병행 기회 제공,"서울시, 에너지절약미션 참여 아파트 4만3천여세대로 확대",푸틴 대선 압승에 갈라진 세계…서방·친러 반응 '극과극'(종합2보),"젠슨 황 엔비디아 CEO ""삼성전자 HBM 테스트 중…기대 크다""(종합)","손흥민 풀타임' 토트넘, 첼시에 0-2 패…더 멀어진 UCL",전국 천둥·번개 동반한 비…낮 최고 16∼27도,"꿀벌 폐사 막아라…서울시, 독성 농약 사용 전면금지","류진 한경협회장 ""트럼프 당선돼도 한미관계 어려워지지 않을것""","美, 한국 등 동맹과 커넥티드카 안보 위험 해결 방안 논의",경북 경산·영천에 호우주의보…포항 등 20곳 폭염경보 유지,"러시아 상원, 오늘 '군사 지원' 담긴 북러조약 비준 논의","징벌보고서 손도장은 '진술'…대법 ""거부해도 징벌사유 아냐"""
"김웅, 오늘 불출마 선언할 듯…장제원 이어 2번째","美 워싱턴서 한인의날 기념행사…""자유 위한 韓美단결 잊지말자""","IAEA ""이란 고농축 우라늄 재고 감소…생산은 지속""",1억대 금품 수수 혐의' 임종성 전 의원 오늘 구속심사,한성백제박물관 '백제 집자리 전시관' 전면 개편,의협 간부·전공의 면허정지 '속도'…교수들은 '일괄사직' 맞불,"한동훈, '험지' 안양 찾아 현장 선대위 개최",여 원내대표 경선 '새 판' 짜이나…'황우여 비대위' 체제로,"무협회장, '美의 對中 관세폭탄'에 ""韓기업에 불리한 것은 아냐""(종합)","[게시판] 서울물재생시설공단·하이트진로, 함께 길거리 플로깅","내년부터 개편되는 공인회계사시험…금감원, 찾아가는 설명회","[올림픽] 도쿄선 32강 탈락, 파리선 16강 진출…김제덕 ""고비 넘겼네요!""",대구에 호우주의보,"김여사·명태균 논란 생중계로 답변…윤대통령, 내일 '끝장 회견'",K-엔지니어링 산업대화' 발족…산업고도화·혁신방안 조언
"정부, 작년 '한은 마통' 117조원 썼다…12월에도 4조원 빌려","[CES 2024] 삼성 미주총괄 ""생성 AI 확산…새 메모리 아키텍쳐 트렌드 필요""","한동훈, 성동구서 기후변화 공약 발표…스타트업 간담회도",LH 입찰 비리' 업체 대표·심사위원 구속,서울 열린데이터광장 활용 창업경진대회 참가자 모집,"[사이테크+] 곤충 분비물 분석해보니…""투명망토 제작 가능한 특수 구조""","오늘 의대별 증원 배분 발표…새회장 뽑는 의협 ""파국적 결과""",원내사령탑에 박찬대 사실상 확정…'명심' 단일대오,"美, 러시아식 사회통제법 추진 조지아에 ""관계 재고"" 경고","개인회생 청년 재도약 지원…서울시, 지원사업 참가자 모집","""남자 동기는 대부분 목사…여자인 나는 20년째 전도사""","英총리, 극우폭력 부른 허위정보에 ""SNS 기업에 책임 있어""",대구에 호우주의보 해제…대구에 폭염경보 유지,"민주당 돈봉투 의혹 정점' 송영길, 오늘 1심 결심 공판",가스안전대상 은탑산업훈장에 미래엔서해에너지 박영수 사장
